Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC001661,18/10/2013,Oct,0.584,0.749041667,1.855,48,0.396277622,35.95,0.363,Fixed,ACORN-C,Affluent,block_4,-0.045126819,-1,12.64,Over
MAC003428,13/06/2013,Jun,0.7995,0.748895835,1.929,48,0.551823409,35.95,0.071,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,11.54,Over
MAC003807,12/04/2013,Apr,0.556,0.748687496,2.365,48,0.620881013,35.94,0.085,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,13.55,Over
MAC003903,27/10/2013,Oct,0.5835,0.748645837,2.3410001,48,0.546539047,35.94,0.163,Dynamic,ACORN-B,Affluent,block_3,-0.045126819,-1,13.4,Over
MAC003668,05/01/2013,Jan,0.46,0.748708338,2.5020001,48,0.677839882,35.94,0.2,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,11.17,Over
MAC003856,02/11/2013,Nov,0.7245,0.748708329,2.3299999,48,0.537252572,35.94,0.204,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.92,Over
MAC003634,01/04/2013,Apr,0.6495,0.748583333,1.632,48,0.218389836,35.93,0.577,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,13.94,Over
MAC003235,02/08/2013,Aug,0.7695,0.748458335,1.696,48,0.4626368,35.93,0.12,Fixed,ACORN-C,Affluent,block_5,-0.045126819,-1,13.17,Over
MAC001661,02/08/2013,Aug,0.5885,0.748604165,2.362,48,0.461170234,35.93,0.222,Fixed,ACORN-C,Affluent,block_4,-0.045126819,-1,13.17,Over
MAC003844,26/12/2013,Dec,0.7215,0.74841666,2.5569999,48,0.610433249,35.92,0.134,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.68,Over
MAC000096,18/11/2013,Nov,0.7055,0.748333335,2.2720001,48,0.391440411,35.92,0.371,Fixed,ACORN-C,Affluent,block_6,-0.045126819,-1,13.97,Over
MAC001734,14/04/2013,Apr,0.6095,0.748354167,1.778,48,0.351472434,35.92,0.444,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,12.73,Over
MAC003856,04/12/2013,Dec,0.5475,0.748333335,2.1700001,48,0.522513177,35.92,0.227,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,12.56,Over
MAC003668,07/02/2013,Feb,0.649,0.7484375,2.3699999,48,0.524412288,35.92,0.192,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,11.3,Over
MAC000096,02/12/2013,Dec,0.5935,0.748145835,2.5020001,48,0.421477551,35.91,0.286,Fixed,ACORN-C,Affluent,block_6,-0.045126819,-1,13.25,Over
